Alliance:,Unnamed: 1,Guilds,Unnamed: 3,Unnamed: 4,AP,DMP,DoT,DT,HoJ,LK,LC,MC,Moogooloo,MW,RR,CoB,ThroB,ToD,YH,Notes:,Alliance Guild IDs:,World ID
 ,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,Line Left Blank Intentially
(((ALLIANCES UPDATED))),,Guilds may shuffle around during the Lockout Period,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
[BGC] Bag Gangsta Crew,,"[ARS] - Abyss Rebels (NA)
[FEAR] - Fake Elitist Always Run (NA)
[GDUA] - Guerreros De La Ultima Alianza
[TM] - Tyrian Misfits (NA)
[VAL] - Radiant New Valkyria (NA)",,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,7da7e8fa-ff3c-eb11-81ac-95dfe50946eb,Moogooloo
[BNGO] Nice to be Naughty ,,"[Blis] - Blissful Epidemic (NA)
[DENT] - Tooth Fairy (SEA)
[FOXY] - In Your Dreams (NA)
[Oops] - Leaked Nodes",,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,3F0E4E59-473D-EC11-81AB-8CD3CF4E85AB,Moogooloo
[BONK] Bonk them all,,[RUSH] - Stop at Nothing (SEA),,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,3bcd9aae-591a-ef11-81ac-95dfe50946eb,Hall of Judgment
[Btd] Báttletoads,,"[BBC] - Beatiful Black Crocus (NA)
[MINT] - Minty (NA)
[PPT] - Stressin (NA)
[PYRO] - Pyromancers (NA)
[RMBO] - You Drew First Blood (NA)
[Unit] - Cobra Unit (late NA)",,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,447313fe-4440-ec11-81ab-8cd3cf4e85ab,Dwayna's Temple
[CELL] Pass The Brain,,"[ERP] - Erotic Toast
[iG] - Integrity Gaming 
[KOVE] - Knights of Valor Eternal
[SPAR] - Spartans This Is Sparta (NA)",,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,1348D8DF-F554-EE11-8466-122223FBD123,Domain of Torment
[CIA] Certified Infiltration Alliance,,[Hate] - We Hate Everything (late NA) ,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,71acf0f3-38b5-ef11-8465-02315ab41281,Mosswood
[Cope] Wínnable,,"[Bags] - Stop Farming Me (NA)
[rV] - Revolt (NA)",,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,629f626d-4f85-f011-81a9-8fb5cfbe7766,Moogooloo
[CS] Chaotic Style,,"[boop] - You See Nothing
[flor] - For the Love of Roaming
[LOST] - The Institution
[MAD] - Monsters at Dinner (late NA)
[NT] - Ninja Tactics
[Oath] - The Royal Blades
[TSF] - The Shining Force
[WANG] - The Wanglers
[WaR] - War and Roses",,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,d8c3270a-9517-ef11-81a9-8fb5cfbe7766,Hall of Judgment
[DDBR] Aliança Dragoes Divinos,,"[DBR] - D I V I N E (NA)
[DD] - Dragons Of Draezor (NA)",,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,~450 players,4f2ca889-aa1f-ef11-81ab-f50023ee1bf3,Yohlon Haven
