Solo Guilds,AP,DMP,DoT,DT,HoJ,LK,LC,MC,Moogooloo,MW,RR,CoB,ThroB,ToD,YH,(leave blank),Notes:,Guild API ID,API Mismatch,Shell Guild,World
 𝐒𝐨𝐥𝐨 𝐆𝐮𝐢𝐥𝐝𝐬,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,Line Left Blank Intentially; Bold text used to sort at end of list,,False,False,
[AI] - Angry Intent (NA),False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,cb2347e3-076f-438d-9c94-e53f0967a7e9,False,False,Throne of Balthazar
[AI] - Anonymous Identîty,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,4582ff4b-3f19-e611-80d4-e4115bdfcb5d,False,False,Throne of Balthazar
[AR] - Anvil Resistance,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,b8746ff7-8f7c-e611-80d4-e4115beba648,False,False,Abaddon's Prison
[ASK] - Asuran Siege Krewe (SEA),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,Missing from WvW API,e2b6ba50-a190-e411-be98-e4115bdfc985,True,False,
[BAEL] - La Babilonia De Elona,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,931fae24-fcb3-e811-81aa-a77aa130eab8,False,False,Domain of Torment
[bake] - Thebakery (late NA) (pugmander),False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,,A8F6A9A5-CBD2-4784-8CE7-08781562B4B1,False,False,Hall of Judgment
[Bana] - Bellicose Banana Club (SEA),False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,,567d4883-1244-43cc-99ce-6bfa27f172ca,False,False,Hall of Judgment
[BEAR] - Bears Evolve in the Arcane Room (SEA),False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,6696623B-C262-EA11-81AC-95DFE50946EB,False,False,Moogooloo
[BoB] - Brotherhood of Bogans (OCX),False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,A73AF6AD-CCAD-E811-81AA-BEF9B8C3E82E,False,False,Dwayna's Temple
